Table	Section	Functionalities	Package	Reference	Repo
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Unsupervised feature extraction specifically designed for analysing noisy and high-dimensional datasets.	KODAMA	[180]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Non-parametric method for identifying differentially expressed features based on the estimated percentage of false predictions.	RankProd	[181]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Fits multi-way component models via alternating least squares algorithms with optional constraints: orthogonal, non-negative, unimodal, monotonic, periodic, smooth, or structure. Fit models include InDScal, PARAFAC, PARAFAC2, SCA, Tucker.	multiway		CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Decompose a tensor of any order, as a generalisation of SVD also supporting non-identity metrics and penalisations. 2-way SVD is also available. Also includes PCAn (Tucker-n) and PARAFAC/CANDECOMP.	PTAk	[182]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Fits multi-way component models via alternating least squares algorithms with optional constraints. Fit models include Individual Differences Scaling, Multiway Covariates Regression, PARAFAC (1 and 2), SCA, and Tucker Factor Analysis.	ThreeWay	[183]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Performs variable selection in a multivariate linear model by estimating the covariance matrix of the residuals then use it to remove the dependence that may exist among the responses and eventually performs variable selection by using the Lasso criterion.	MultiVarSel	[184]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Performs the O2PLS data integration method for two datasets yielding joint and data-specific parts for each dataset.	OmicsPLS	[185]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Contains ordination methods such as ReDundancy Analysis (RDA), (Canonical or Detrended) Correspondence Analysis (CCA, DCA for binary explanatory variables), (Non-metric) Multi-Dimensional Scaling ((N)MDS) and other univariate and multivariate methods. Originally developed for vegetation ecologists, many functions are also applicable to metabolomics.	vegan		CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Linear and non-linear Discriminant Analysis methods (e.g. LDA), stepwise selection and classification methods useful for feature selection.	klaR	[186]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Variable selection methods for PLS, including significance multivariate correlation (SMC), selectivity ratio (SR), variable importance in projections (VIP), loading weights (LW), and regression coefficients (RC). It contains also some other modelling methods.	plsVarSel	[187]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Predictive multivariate modelling using PLS and Random Forest Data. Repeated double cross unbiased validation and variable selection.	MUVR	(Shi et al. 2019)	GitLab
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Biomarker validation for predicting survival. Cross validation methods to validate and select biomarkers when the outcome of interest is survival.	MetabolicSurv		CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Pre-treatment, classification, feature selection and correlation analyses of metabolomics data.	metabolyseR		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Omics Data integration	Multiple co-inertia analysis of omics datasets (MCIA) is a multivariate approach for visualization and integration of multi-omics datasets. The MCIA method is not dependent on feature annotation therefore can extract important features even when there are not present across all datasets.	omicade4	[188]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Omics Data integration	STATegRa combines information in multiple omics datasets to evaluate the reproducibility among samples and across experimental condition using component analysis (omicsNPC implements the NonParametric Combination) and clustering.	STATegRa	[189]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Omics Data integration	Statistical framework supporting many different types of multivariate analyses (e.g. PCA, PLS, CCA, PLS-DA, etc.).	mixOmics	[190] [145]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Omics Data integration	STatistics in R Using Class Templates - Classes for building statistical workflows using methods, models and validation objects. Provides mechanism for STATO integration.	STRUCT		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Omics Data integration	Multi-omics base clases integrable with commonly used R Bioconductor objects for omics data; container that holds omics results.	MultiDataSet	[191]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Omics Data integration	Identifies analyte-analyte (e.g. gene-metabolite) pairs whose relationship differs by phenotype (e.g. positive correlation in one phenotype, negative or no correlation in another). The software is also accessible as a user-friendly interface at intlim.bmi.osumc.edu.	IntLIM	[192]	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Mixture-model for accounting for data missingness'.	metabomxtr	[193]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Kernel-Based Metabolite Differential Analysis provides a kernel-based score test to cluster metabolites between treatment groups, in order to handle missing values.	KMDA	[194]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Visualization and imputation of missing values. VIM provides methods for the evaluation and visualization of the type and patterns of missing data. The included imputation approaches are kNN, Hot-Deck, iterative robust model-based imputation (IRMI), fast matching/imputation based on categorical variables and regression imputation.	VIM	[195]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Graphical user interface for VIM.	VIMGUI		CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	kNN based imputation for microarray data.	impute	[196]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Bootstrap based algorithm and diagnostics for fast and robust multiple imputation for cross sectional, time series or combined cross sectional and time series data.	Amelia	[197]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Algorithms and diagnostics for the univariate imputation of time series data.	imputeTS	[198]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Methods for the Imputation of incomplete continuous or categorical datasets. missMDA allows missing data imputation using in categorial, continuous or mixed-type datasets using PCA, CA, a multiple correspondence analysis (MCA) model, a multiple factor analysis (MFA) model or factorial analysis for mixed data (FAMD).	missMDA	[199]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Random forest based missing data imputation for mixed-type, nonparametric data. An out-of-bag (OOB) error estimate is used for model optimization.	missForest	[200]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Multivariate imputation by chained equations using fully conditional specifications (FCS) for categorical, continuous and binary datasets. It includes various diagnostic plots for the evaluation of the imputation quality.	mice	[201]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Missing data imputation using an approximate Bayesian framework. Diagnostic algorithms are included to analyze the models, the assumptions of the imputation algorithm and the multiply imputed datasets.	mi	[202]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Missing value imputation	Iterative Gibbs sampler based left-censored missing value imputation.	GSimp	(Wei et al. 2018)	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Missing value imputation, filtering, normalisation and averaging of technical replications.	MSPrep	[203]	SF
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	HCA, Fold change analysis, heat maps, linear models (ordinary and empirical Bayes), PCA and volcano plots. Also log transformation, missing value replacement and methods for normalisation. Cross-contribution compensating multiple internal standard normalisation (ccmn) and remove unwanted variation (ruv2).	metabolomics	[204]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Data processing, normalization, statistical analysis, metabolite set enrichment analysis, metabolic pathway analysis, and biomarker analysis.	MetaboAnalystR	[205, 206]	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Pipeline for metabolomics data pre-processing, with particular focus on data representation using univariate and multivariate statistics. Built on already published functions.	muma	[207]	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Framework for multiomics experiments. Identifies sources of variability in the experiment and performs additional analysis (identification of subgroups, data imputation, outlier detection).	MOFA	[208]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Performs entry-level differential analysis on metabolomics data.	MetaboDiff	[209]	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	STRUCT wrappers for filtering, normalisation, missing value imputation, glog transform, HCA, PCA, PLSDA, PLSR, t-test, fold-change, ANOVA, Mixed Effects, post-hoc tests	STRUCTToolbox		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Data transformation, filtering of feature and/or samples and data normalization. Quality control processing, statistical analysis and visualization of MS data.	pmartR		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Quality control, signal drift and batch correction, transformation, univariate hypothesis testing.	metabolis		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Missing value filtering and imputation, zero value filtering, data normalization, data integration, data quality assessment, univariate statistical analysis, multivariate statistical analysis such as PCA and PLS-D and potential marker selection	MetCleaning		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Univariate analysis (linear model), PCA, clustered heatmap, and partial correlation network analysis. Based on classes from the Metabase package(Zhu 2019).	ShinyMetabase		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Outlier detection, PCA, drift correction,visualization, missing value imputation,classification.	MetabolomicsBasics	(Jaeger and Lisec 2018)	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multiple workflow steps	Pre-processing, differential compound identification and grouping, traditional PK parameters calculation, multivariate statistical analysis, correlations, cluster analyses and resulting visualization.	polyPK	(Li et al. 2018)	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Network infrastructure and analysis	Infrastructure for representation of networks, analysis and visualization.	igraph	[239]	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Network infrastructure and analysis	Infrastructure for representation of networks, analysis and visualization.	tidygraph		CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Network infrastructure and analysis	Infrastructure for representation of networks, analysis and visualization.	statnet		CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Network infrastructure and analysis	Interactive visualization and manipulation of networks.	RedeR	[240]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Network infrastructure and analysis	Comparison of correlation networks from two experiments.	DiffCorr	[241]	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Network infrastructure and analysis	Correlation-based networks from metabolomics data and analysis tools.	BioNetStat		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Annotation	Putative annotation of unknowns in MS1 data.	MetNet	[242]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Annotation	Putative annotation of unknowns in MS1 data.	xMSAnnotator	[243]	SF
Table 8: R packages for network analysis and Biochemical pathways.	Annotation	Putative annotation of unknowns using MS1 and MS2 data.	MetDNA	[235]	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Annotation	Visualization of spectral similarity networks, putative annotation of unknowns using MS2 data.	MetCirc	[83]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Annotation	Putative annotation of unknowns using MS2 data, clustering of MS2 data.	CluMSID	[96]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Annotation	Putative annotation of unknowns using MS2 data.	compMS2Miner	[86]	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Generation of metabolite networks	Biochemical reaction networks, spectral and structural similarity networks.	MetaMapR	[244]	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Generation of metabolite networks	Correlation-based networks, structural similarity networks.	Metabox	[245]	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Generation of metabolite networks	Targeted metabolome-wide association studies.	MetabNet	[246]	SF
Table 8: R packages for network analysis and Biochemical pathways.	Generation of metabolite networks	Generation of scale-free correlation-based networks.	WGCNA	[247]	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Analysis of -omics data, pathway, transcription factor and target gene identification.	pwOmics	[248]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	MSEA a metabolite set enrichment analysis with factor loading in principal component analysis.	mseapca	[249]	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Enrichment analysis of a list of affected metabolites.	tmod		CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Network-based enrichment analysis of a list of affected metabolites.	FELLA	[250]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Pathway-based enrichment analysis of a list of affected metabolites.	CePa	[251]	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Differential analysis, modules/sub-pathway identification using networks.	MetaboDiff	[209]	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Integrates metabolic networks and RNA-seq data to construct condition-specific series of metabolic sub-networks and applies to gene set enrichment analysis	metaboGSE	(Tran et al. 2018)	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Differential analysis.	SDAMS		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Biomarker identification.	lilikoi	[252]	CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Biomarker identification.	INDEED	[253]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Biomarker identification.	MoDentify	[254]	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Pathway activity profiling.	PAPi	[255]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Pathway activity profiling.	pathwayPCA	[256]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Flux balance analysis.	BiGGR	[257]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Flux balance analysis.	abcdeFBA		CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Flux balance analysis.	sybil		CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Flux balance analysis.	fbar		CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Identification of affected pathway from phenotype data (interface with graphite).	SPIA	[258]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Identification of affected pathway from phenotype data (interface with graphite).	clipper		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Interface to PathVisio and WikiPathways and pathway analysis and enrichment.	RPathVisio	[259]	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Enrichment analysis of a list of genes and metabolites.	RaMP	(Zhang et al. 2018)	GitHub
Table 8: R packages for network analysis and Biochemical pathways.	Pathway analysis	Simulation of longitudinal metabolomics data based on an underlying biological network	MetaboLouise		CRAN
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	BioPax parser and representation in R.	rBiopaxParser	[260]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to KEGG, Biocarta, Reactome, NCI/Nature Pathway Interaction Database, HumanCyc, Panther, SMPDB and PharmGKB.	graphite	[261, 262]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to NCI Pathways Database.	NCIgraph		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to KEGG.	pathview	[263]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to KEGG.	KEGGgraph	[264]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to systems biology markup language (SBML).	SBMLR		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to systems biology markup language (SBML).	rsbml		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to Gaggle-enabled software (Cytoscape, Firegoose, Gaggle Genome browser).	gaggle		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to molecular interaction databases.	PSICQUIC		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to KEGG REST server.	KEGGREST		BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to BioPAX OWL files and the Pathway Commons (PW) molecular interaction database.	paxtoolsr	[265]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Interface to WikiPathways.	rWikiPathways	[266]	BioC
Table 8: R packages for network analysis and Biochemical pathways.	Pathway resources and interfaces	Database that integrates metabolite and gene biological pathways from HMDB, KEGG, Reactome, and WikiPathways. Includes user-friendly R Shiny web application for queries and pathway enrichment analysis.	RaMP-DB	[267]	GitHub
Table 9: R packages with multifunctional workflows.		Convenience wrapper for pre-processing tools (XCMS, CAMERA) and a number of statistical analyses.	MAIT	[271]	BioC
Table 9: R packages with multifunctional workflows.		Preprocessing (XCMS), replicate merging, noise, blank and missingness filtering, feature grouping, annotation of known compounds, isotopic labeling analysis, annotation from KEGG or HMDB, common biotransformations, probabilistic putative metabolite annotation.	mzMatch	[71]	SF
Table 9: R packages with multifunctional workflows.		XCMS and CAMERA based workflow for non-targeted processing of LC-MS datasets, It includes pre-processing, peak picking,peak filtering, data normalization and descriptive statistics calculation.	MStractor		GitHub
Table 9: R packages with multifunctional workflows.		Performs simultaneous raw data to mzXML conversion (MSConvert), peak-picking, automatic PCA outlier detection and statistical analysis, visualization and possible MS2 target list determination during an MS1 metabolomic profiling experiment.	simExTargId	[272]	GitHub
Table 9: R packages with multifunctional workflows.		Pre-processing of large LC-MS datasets. Performs automatic PCA with iterative automatic outlier removal and, clustering analysis and biomarker discovery.	MetMSLine	[273]	GitHub
Table 9: R packages with multifunctional workflows.		Workflow for the systematic analysis of 1H NMR metabolomics dataset in quantitative genetics. Performs pre-processing, mQTL mapping, metabolites structural assignment and offers data visualisation tools.	mQTL.NMR	[126]	BioC
Table 9: R packages with multifunctional workflows.		Workflow for pre-processing, qc, annotation and statistical data analysis of LC-MS and GC-MS based metabolomics data to be submitted to public repositories.	MetaDB	[274]	GitHub
Table 9: R packages with multifunctional workflows.		Specmine is a framework mainly built on a number of already published packages. It supports data processing form different analytical platforms (LC-MS, GC-MS, NMR, IR, UV-Vis).	specmine	[275]	GitHub
Table 9: R packages with multifunctional workflows.		Common interface for a number of different MS based data processing software. It covers various aspects, such as data preparation and data extraction, formula calculation, compound identification and reporting.	patRoon		GitHub
Table 9: R packages with multifunctional workflows.		Processing of high resolution of LC-MS data for environmental trend analysis.	enviMass		Zenodo
Table 9: R packages with multifunctional workflows.		Workflow for preprocessing of LC-HRMS data, suspect screening, screening for transformation products using combinatorial prediction, and interactive filtering based on ratios between sample groups.	RMassScreening	[276, 277]	GitHub
Table 9: R packages with multifunctional workflows.		Workflow to perform pre-processing, statistical analysis and metabolite identifications based on database search of detected spectra.	MetaboNexus	[270]	GitHub
Table 9: R packages with multifunctional workflows.		Shiny-based platform to extract differential features from LC-MS data, includes XCMS-based feature detection, statistical analysis, prediction of molecular formulas, annotation of MS2 spectra, MS2 molecular networking and chemical compound database search.	METABOseek		GitHub
Table 9: R packages with multifunctional workflows.		RShiny interface to Metabolomics packages & MetaboAnalyst scripts.	MetaboShiny		GitHub
Table 9: R packages with multifunctional workflows.		Preprocessing and visualizing for LC-MS data, as well as statistical analyses, mainly based on univariate linear models.	amp		GitHub
Table 11: Packages to interface R with other languages and workflow environments		Given an R function and its manual page, make the documented function available in Galaxy.	RGalaxy		BioC
Table 11: Packages to interface R with other languages and workflow environments		Integration of R and C++. Many R data types and objects can be mapped back and forth to C++ equivalents.	Rcpp	[290]	CRAN
Table 11: Packages to interface R with other languages and workflow environments		Low-Level R to Java Interface.	rJava		CRAN
Table 11: Packages to interface R with other languages and workflow environments		Interface to 'Python' modules, classes, and functions and translation between R and Python objects.	reticulate		CRAN
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	12 HPLC-MS NetCDF files (Agilent 1100 LC-MSD SL).	faahKO	[293]	BioC
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	16 UPLC-MS mzData files (Bruker microTOFq).	mtbls2	[92]	BioC
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	12 UPLC-MS mzML files (AB Sciex TripleTOF 5600, SWATH mode).	mtbls297	[294]	GitHub
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	Different raw MS files (LTQ, TripleQ, FTICR, Orbitrap, QTOF) some in different formats (mzML, mzXML, mzData, mzData.gz, NetCDF, mz5). Also mzid format from proteomics.	msdata		BioC
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	Metadata and DDA MS/MS spectra of 15 narcotics standards (LTQ Orbitrap XL).	RMassBankData	[91]	BioC
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	183 x 109 peak table.	ropls	[173]	BioC
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	69 x 5,501 peak table.	biosigner	[178]	BioC
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	40 x 1,632 peak table.	BioMark	[179]	CRAN
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	Raw MS files from a set of blanks and standards that contain common environmental contaminants (acquired with Bruker maXis 4G).	patRoonData		GitHub
Table 12: Metabolomics data sets packaged as R packages.	LC-MS	Proteomics, metabolomics GC-MS and Lipidomics data from Calu-3 cell culture; 3 mockulum treated and 9 MERS-CoV treated; Time point, 18 hour from MassIVE dataset ids MSV000079152, MSV000079153, MSV000079154.	pmartRdata		GitHub
Table 12: Metabolomics data sets packaged as R packages.	FIA-MS	6 mzML files (human plasma spiked with 40 compounds acquired in positive mode on an orbitrap fusion).	plasFIA		BioC
Table 12: Metabolomics data sets packaged as R packages.	FIA-MS	mzML files (Thermo Exactive) from comparison of leaf tissue from 4 B. distachyon ecotypes with Flow-infusion electrospray ionisation-high resolution mass spectrometry (FIE-HRMS). Also includes data sets with 10 technical injections of human urine and another 10 injections from leaf tissue (ecotype ABR1).	metaboData		GitHub
Table 12: Metabolomics data sets packaged as R packages.	GC-MS	52 x 154 peak table.	pcaMethods	[168]	BioC
Table 12: Metabolomics data sets packaged as R packages.	NMR	18 x 189 peak table.	MetabolAnalyze		CRAN
Table 12: Metabolomics data sets packaged as R packages.	NMR	33 x 164 peak table.	MetabolAnalyze		CRAN
Table 12: Metabolomics data sets packaged as R packages.	NMR	ASICSdata: 1D NMR spectra for ASICS.	ASICSdata	[124]	BioC
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Subset of functions from the Chemistry Development Kit. Provide a computer readable representation of molecular structures and provide functions to import structures from different molecule structure description formats, manipulate structures, visualize structures and calculate properties and molecular fingerprints.	rcdk	[228]	CRAN
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Similar torcdkin functionality and provides more fingerprints and clustering methods and provides additional tools through querying the ChemMine Tools web service.	ChemmineR	[229]	BioC
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Provides conversion of structure representation through OpenBabel.	ChemmineOB		BioC
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Exposes functionalities of the RDKit library, including reading and writing of SF files and calculating a few physicochemical properties.	RRDKit		GitHub
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Read and write InChI and InChIKey from and torcdk.	rinchi		GitHub
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Maximum Common Substructure Searching using ChemmineR structures.	FmcsR	[230]	BioC
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Basic cheminformatics functions tailored for mass spectrometry applications, enhancing functionality available in other packages likercdk, enviPat, RMassBank etc.	RChemMass		GitHub
Table 7: R Packages for molecule structures and chemical structure databases.	Structure representation and manipulation	Provides fingerprinting methods forrcdk.	fingerprint		CRAN
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Calculation of molecular properties.	camb	[231]	GitHub
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Querying information from PubChem.	Rpubchem		CRAN
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Querying information from various web services (CACTUS, CTS, PubChem, ChemSpider) as part of compound list generation.	RMassBank	[95]	BioC
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Querying information from a large number of databases.	webchem	[232]	CRAN
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	R Interface to the ClassyFire REST API.	classyfireR		CRAN
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Allows mapping of identifiers from one database to another, for metabolites, genes, proteins, and interactions.	BridgeDbR		BioC
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Define utilities for exploration of human metabolome database, including functions to retrieve specific metabolite entries and data snapshots with pairwise associations.	hmdbQuery		BioC
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Parsers for many compound databases including HMDB, MetaCyc, ChEBI, FooDB, Wikidata, WikiPathways, RIKEN respect, MaConDa, T3DB, KEGG, Drugbank, LipidMaps, MetaboLights, Phenol-Explorer, MassBank.	MetaDBparse		GitHub
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Functionality to create and use compound databases generated from (mostly publicly) available resources such as HMDB, ChEBI and PubChem.	CompoundDb		GitHub
Table 7: R Packages for molecule structures and chemical structure databases.	Database queries	Standardized and extensible framework to query chemical and biological databases.	biodb		GitHub
